CustomerID,FirstName,MiddleInitial,LastName,CityID,Address
19930,Kara,C,Blake,1,19 North First Avenue
87138,Bryce,E,Hicks,1,702 Nobel Avenue
50873,Elena,S,Camacho,1,34 East First Freeway
20734,Dustin,S,Carey,1,45 Rocky Clarendon Avenue
29366,Seth,Q,Cabrera,1,980 Rocky Clarendon Way
96193,Deana,Q,Todd,1,95 White Fabien Freeway
80971,Gwendolyn,M,Cohen,1,72 North Clarendon Road
40679,Tammi,F,Leon,1,97 White Old Road
77236,Jordan,E,Kim,1,16 Milton St.
25088,Kelvin,B,George,1,25 White Milton Street
23493,Diane,G,Vasquez,1,63 East Cowley Boulevard
66384,Latoya,F,Larson,1,31 Second Way
7939,Judy,B,Myers,1,922 Old Freeway
59931,Hollie,Y,Abbott,1,191 Old Boulevard
51524,Darrell,O,Medina,1,54 Green Cowley Road
71272,Heath,Q,Acosta,1,260 Clarendon Parkway
63326,Dennis,A,Morgan,1,48 West Hague Freeway
57562,Stephanie,T,Stone,1,803 West Rocky Oak St.
3237,Brandy,R,Gibson,1,370 West Green First Parkway
64303,Eduardo,Z,Clarke,1,640 West Green New Street
10457,Julio,B,Chapman,1,19 Rocky Milton Way
45995,Cassandra,T,Obrien,1,891 White New Avenue
27179,Clint,U,Cole,1,10 Cowley Way
12072,Robert,L,Riggs,1,215 Milton Way
97063,Nicholas,B,Little,1,880 New Way
19801,Orlando,Q,Andrews,1,811 Oak St.
19140,Randall,D,Chaney,1,33 East Hague Avenue
71545,Gilberto,B,Hinton,1,87 White Old Parkway
73240,Maribel,H,Castaneda,1,255 Green Milton Avenue
22931,Louis,Y,Sexton,1,77 Rocky Nobel Parkway
30817,Sherman,G,Briggs,1,73 North Rocky Nobel Road
80002,Wendell,Q,Briggs,1,72 Green Second Road
76930,Trent,B,Ramsey,1,28 Rocky Fabien Boulevard
64073,Krista,U,Schultz,1,943 Cowley Drive
9661,Marcos,K,Sandoval,1,52 White Oak Road
14217,Serena,S,Tate,1,51 West Fabien Boulevard
97805,Joni,F,Harding,1,672 North Second Avenue
29697,Christi,K,Cain,1,772 North Milton Boulevard
68321,Ronald,F,Barber,1,846 Old Freeway
57281,Claire,I,Harding,1,36 West Cowley Boulevard
28119,Donnie,E,Paul,1,58 Green First Parkway
26467,Patrick,I,Schwartz,1,88 North Clarendon Blvd.
76456,Gustavo,Z,Buck,1,26 First Boulevard
52565,Arthur,I,Patrick,1,149 West White New St.
6618,Judy,F,Morales,1,23 Rocky Cowley Road
50544,Arnold,U,Griffin,1,45 Rocky Old St.
80595,Malcolm,E,Schultz,1,87 West Rocky Cowley Way
88651,Barry,I,Schmitt,1,861 Green Nobel Drive
64075,Gabrielle,T,Drake,1,91 Milton Freeway
918,Wade,K,Kent,1,16 Green Cowley Blvd.
65460,Ben,N,Ochoa,1,41 Oak St.
14492,Erich,F,Herman,1,73 Green Milton Road
74494,Marjorie,O,Boyd,1,492 White Hague Freeway
29576,Jill,E,Jackson,1,118 West Green Second Road
85508,Rex,K,Santos,1,68 Green Fabien St.
32575,Cristina,U,Abbott,1,17 Clarendon Blvd.
52200,Susan,S,Michael,1,21 South Oak Drive
62303,Cara,T,Chandler,1,161 Clarendon Freeway
81094,Alison,I,Blevins,1,19 West Rocky Old Way
51456,Wallace,J,Castro,1,70 West Rocky Milton Way
52260,Perry,P,Wright,1,94 White Clarendon Parkway
49012,Andres,M,Cantrell,1,709 Green Oak Freeway
8691,Dan,J,Reynolds,1,93 Rocky Cowley St.
56799,Miguel,P,Grant,1,520 Old St.
72584,Melissa,E,Wilkerson,1,73 White Clarendon Boulevard
80036,Myron,Q,Wilkerson,1,30 West Clarendon Boulevard
92688,Ethan,V,Reilly,1,58 Green Nobel Freeway
17708,Tammi,J,Crosby,1,96 New Parkway
20838,Sidney,S,Kline,1,75 First St.
73067,Pamela,P,Dickson,1,609 Clarendon Blvd.
12668,Angel,T,Shelton,1,55 East Milton Freeway
51620,Abigail,W,Mc Lean,1,974 Green Nobel Parkway
42880,Judith,D,Villa,1,69 Milton Blvd.
9757,Marcy,M,Nguyen,1,585 West Clarendon Freeway
24900,Bruce,Q,Gibbs,1,39 West Clarendon Blvd.
58504,Ted,O,Porter,1,94 Second Freeway
88378,Erika,L,Hernandez,1,841 Old Street
24413,Janette,G,Stewart,1,300 Old Avenue
46756,Jessica,A,Lam,1,365 North New Avenue
14704,Rebekah,K,Torres,1,26 East Hague Freeway
98267,Catherine,C,Lopez,1,320 Second Drive
84270,Alisa,G,James,1,265 Rocky New Road
70758,Brent,U,Little,1,980 Fabien Way
3211,Chrystal,W,George,1,68 Fabien Parkway
67362,Sally,X,Hudson,1,605 Nobel Parkway
41028,Gwendolyn,Z,Vega,1,126 North Green Milton Freeway
5838,Derek,R,Murphy,1,98 Rocky Hague Avenue
2473,Vickie,H,Vasquez,1,83 Clarendon Parkway
57219,Trisha,B,Roy,1,91 Fabien Parkway
90053,Claude,E,Carlson,1,82 Rocky Second Road
90175,Carl,H,Horton,1,79 South Green Cowley Parkway
180,Arnold,T,House,1,585 Rocky Cowley Boulevard
94252,Latoya,U,Mccarty,1,521 Cowley Road
87926,Kristian,D,Vaughan,1,96 Green Oak St.
43019,Leon,V,Mathis,1,315 North Nobel Road
18253,Sonya,I,Chandler,1,854 White Cowley Boulevard
25499,Lewis,K,Sullivan,1,505 South New Street
64220,Trina,K,Mc Carthy,1,41 West Nobel St.
58474,Maggie,A,Martin,1,792 Green Fabien Road
10935,Diane,Y,Giles,1,187 White Second Parkway
66829,Rosemary,X,Lambert,1,96 Rocky First Avenue
96633,Rachel,P,Herring,1,519 White Nobel Boulevard
30544,Tamika,S,Church,1,15 Nobel Boulevard
7000,Frances,F,Burnett,1,22 East Fabien Street
87378,Lawanda,L,Welch,1,784 White Old Road
95803,Ashley,W,Hopkins,1,19 Rocky Old Street
62614,Myron,R,Warner,1,945 Nobel Road
10899,Janelle,Z,Knox,1,78 West Clarendon Road
31898,Henry,C,Dickson,1,48 Rocky New Road
42684,Jenny,G,Dickson,1,598 South Milton Road
27705,Hector,C,Perez,1,835 White Hague Freeway
11763,Kim,T,Bryant,1,65 Fabien Way
4198,Toni,E,Fischer,1,231 Green Clarendon Avenue
15840,Scott,Q,Sandoval,1,368 New Way
20643,Sheldon,J,Pearson,1,62 Second Blvd.
28797,Ismael,S,Sawyer,1,554 Cowley Blvd.
54610,Alisa,M,Lowery,1,10 Rocky Clarendon Drive
56431,Candy,V,Yoder,1,643 Second Road
96535,Ira,O,Lindsey,1,574 Green First Boulevard
33341,Staci,E,Sloan,1,734 Fabien Boulevard
91535,Randall,Z,Chaney,1,73 Nobel Freeway
20708,Josephine,B,Austin,1,10 East Cowley Blvd.
28689,Fredrick,L,Holt,1,41 Hague Boulevard
7503,Elaine,N,Lambert,1,38 New Parkway
